         13501280 function calls (13282499 primitive calls) in 24.649 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
31991/31024    0.014    0.000    0.104    0.000 {built-in method builtins.setattr}
     6424    0.006    0.000    0.101    0.000 {method 'issubset' of 'set' objects}
424300/424028    0.075    0.000    0.101    0.000 {built-in method builtins.hasattr}
       48    0.001    0.000    0.101    0.002 app.py:2676(_register)
   600410    0.100    0.000    0.100    0.000 {method 'get' of 'dict' objects}
       44    0.000    0.000    0.097    0.002 widget.py:980(mount_all)
       45    0.000    0.000    0.097    0.002 widget.py:911(mount)
    12879    0.023    0.000    0.096    0.000 color.py:226(rich_color)
     3270    0.019    0.000    0.093    0.000 dom.py:1032(_opacity_background_colors)
  180/122    0.001    0.000    0.093    0.001 threading.py:323(wait)
    60/45    0.000    0.000    0.093    0.002 {built-in method builtins.__import__}
    58912    0.039    0.000    0.092    0.000 _utility.py:523(<lambda>)
5789/5755    0.006    0.000    0.092    0.000 widget.py:3538(post_message)
      189    0.000    0.000    0.086    0.000 widget.py:3728(mount_composed_widgets)
6306/6272    0.014    0.000    0.086    0.000 message_pump.py:771(post_message)
   418483    0.054    0.000    0.086    0.000 _utility.py:522(<lambda>)
      238    0.001    0.000    0.083    0.000 _client.py:319(build_request)
     9632    0.007    0.000    0.082    0.000 widget.py:171(<genexpr>)
        1    0.000    0.000    0.082    0.082 _client.py:1(<module>)
       38    0.002    0.000    0.082    0.002 _compositor.py:448(reflow_visible)
     6397    0.016    0.000    0.081    0.000 signal.py:103(publish)
54431/50563    0.014    0.000    0.081    0.000 {built-in method builtins.next}
  659/616    0.002    0.000    0.076    0.000 _layout.py:167(get_content_height)
       38    0.035    0.001    0.075    0.002 _utility.py:666(hd_group)
     6093    0.012    0.000    0.075    0.000 _utils.py:7(is_socket_readable)
1386/1374    0.005    0.000    0.075    0.000 widget.py:3391(refresh)
    10124    0.012    0.000    0.072    0.000 _style_properties.py:403(__get__)
      237    0.001    0.000    0.067    0.000 app.py:3004(on_event)
    19003    0.034    0.000    0.067    0.000 dom.py:655(screen)
  250/186    0.000    0.000    0.065    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     4555    0.003    0.000    0.065    0.000 widget.py:177(<genexpr>)
    36200    0.017    0.000    0.064    0.000 strip.py:299(apply_filter)
   153470    0.064    0.000    0.064    0.000 cache.py:224(__init__)
     3864    0.003    0.000    0.064    0.000 message_pump.py:618(_flush_next_callbacks)
      932    0.003    0.000    0.064    0.000 http11.py:216(_receive_event)
      175    0.001    0.000    0.063    0.000 _figure.py:214(plot)
   103736    0.043    0.000    0.063    0.000 {built-in method builtins.max}
    49216    0.018    0.000    0.063    0.000 _style_properties.py:282(__get__)
      175    0.001    0.000    0.063    0.000 _figure.py:208(_draw)
      175    0.001    0.000    0.062    0.000 _monitor.py:285(draw)
     6117    0.004    0.000    0.061    0.000 trsock.py:76(getpeername)
      907    0.003    0.000    0.061    0.000 _urls.py:75(__init__)
    49415    0.023    0.000    0.060    0.000 geometry.py:530(size)
       76    0.000    0.000    0.060    0.001 query.py:142(__iter__)
      131    0.011    0.000    0.060    0.000 _compositor.py:260(render_segments)
      667    0.013    0.000    0.058    0.000 dom.py:941(rich_style)
